artist_uri,related_artist_uri,related_artist_name,popularity,genres
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:3ZJxEmjYZd5VOqZ8o3aXiL,ABRA,58,"['alternative r&b', 'art pop', 'electropop', 'escape room']"
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:5MraexJKZDrQYzS98kNwie,Sevdaliza,50,"['art pop', 'electropop', 'escape room', 'persian electronic']"
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:0N41KJ4H6bkPAm2tx7VS8C,Anna Wise,54,"['alternative r&b', 'indie r&b']"
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:1xcMOgFUM1IYZE22YjCvsL,Tei Shi,50,"['alternative r&b', 'art pop', 'electropop', 'escape room', 'gauze pop', 'indie pop', 'pop', 'shimmer psych', 'spectra', 'vapor pop', 'vapor soul']"
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae,57,"['alternative r&b', 'escape room', 'indie r&b', 'indie soul', 'neo soul', 'r&b']"
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:7lsnwlX6puQ7lcpSEpJbZE,Kilo Kish,47,"['alternative r&b', 'art pop', 'electropop', 'escape room', 'pop']"
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:0jt1EsJCeoQXLNDta4JF6c,Dizzy Fae,41,"['alternative r&b', 'escape room', 'minneapolis indie']"
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:6f5lOlSFJw9K79gaNnmWAd,Tirzah,46,"['alternative r&b', 'art pop', 'electra', 'electronica', 'escape room', 'experimental pop', 'indie soul', 'spectra', 'uk contemporary r&b']"
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:7aFTOGFDEqDtJUCziLVsVC,Nao,58,"['alternative r&b', 'indie soul', 'neo soul', 'pop', 'r&b', 'uk contemporary r&b']"
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:4b99uGDv75xD1n2QHuPRDN,Jessy Lanza,33,"['art pop', 'canadian electropop', 'electra', 'escape room', 'experimental r&b', 'hamilton on indie', 'spectra']"
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:0fEfMW5bypHZ0A8eLnhwj5,Kelsey Lu,44,"['alternative r&b', 'art pop', 'escape room', 'experimental r&b', 'indie soul']"
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:4UodukR17NIQfNu5uaqm9B,Jamila Woods,50,"['afrofuturism', 'alternative r&b', 'escape room', 'indie soul']"
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:6nB0iY1cjSY1KyhYyuIIKH,FKA twigs,65,"['afrofuturism', 'art pop', 'dance pop', 'escape room', 'experimental r&b', 'pop', 'trip hop']"
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:3MM3uKNdJbvefUael12dl3,Rochelle Jordan,40,"['alternative r&b', 'escape room', 'indie r&b']"
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:2auiVi8sUZo17dLy1HwrTU,Solange,60,"['afrofuturism', 'alternative r&b', 'dance pop', 'escape room', 'hip pop', 'indie soul', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:5QuBVnBPEzwYvFrgBbwpmU,Empress Of,53,"['art pop', 'chillwave', 'electropop', 'escape room', 'etherpop', 'indie pop', 'shiver pop']"
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:2kVmW0EZG23dqsqeRZ4Jg0,Ojerime,48,"['alternative r&b', 'escape room', 'indie r&b', 'indie soul', 'uk contemporary r&b']"
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,spotify:artist:1nIJEqPyIj5qutlgWNmQB0,Erika de Casier,43,"['art pop', 'escape room', 'scandinavian r&b']"
