artist_uri,rank,title,preview_sound,cover_art,popularity,track_uri
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,1,LMK_WHAT’S REALLY GOOD REMIX_ FEAT_PRINCESS NOKIA_JUNGLEPUSSY_CUPCAKKE_MS. BOOGIE_100 BPM,https://p.scdn.co/mp3-preview/cda262ce936412e6ab50b1b2dfce8947765d7661?cid=65b672c29e5f4437ac1ee014e837fae6,https://i.scdn.co/image/ab67616d0000b27377b22d7d9ec551ce2edd6059,47,spotify:track:1q5h9UkGVYVoec4ydU9P0d
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,2,Bluff,https://p.scdn.co/mp3-preview/3b5a3b4a5eaae6cad718e7f0d56b431f3c494109?cid=65b672c29e5f4437ac1ee014e837fae6,https://i.scdn.co/image/ab67616d0000b2730e6b0fc686dda68c8ec9e436,47,spotify:track:3j7zwRLw8QEbYoOhSE0AOd
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,3,Rewind,https://p.scdn.co/mp3-preview/5d1640a2a858a8816a5912d301e7a38fb3dc5a91?cid=65b672c29e5f4437ac1ee014e837fae6,https://i.scdn.co/image/ab67616d0000b2734e3eb26e9241ebb51969f264,46,spotify:track:0cjvRZVV217eDcZXXTHxBl
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,4,All the Way Down,https://p.scdn.co/mp3-preview/ca0d919572707127453b3d7d9f4cdbbcd126354a?cid=65b672c29e5f4437ac1ee014e837fae6,https://i.scdn.co/image/ab67616d0000b2734e3eb26e9241ebb51969f264,46,spotify:track:6JT37WmQRQawN2By1ZQR0N
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,5,LSDXOXO_TRUTH OR DARE_123 BPM,https://p.scdn.co/mp3-preview/7111587b33ed02138dfff8f1e2856e04ae6dc862?cid=65b672c29e5f4437ac1ee014e837fae6,https://i.scdn.co/image/ab67616d0000b27377b22d7d9ec551ce2edd6059,43,spotify:track:6VTixntONK80zNv2HT2Tg4
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,6,Frontline,https://p.scdn.co/mp3-preview/f13ce7dc1144431ecf1494ebe28319b414a9d632?cid=65b672c29e5f4437ac1ee014e837fae6,https://i.scdn.co/image/ab67616d0000b2730e6b0fc686dda68c8ec9e436,41,spotify:track:6b3KUNSmJL1qIfi1hF1G6Y
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,7,LMK,https://p.scdn.co/mp3-preview/f45c9bfa1065769da4710a12d2c68a8335a55f2e?cid=65b672c29e5f4437ac1ee014e837fae6,https://i.scdn.co/image/ab67616d0000b2730e6b0fc686dda68c8ec9e436,41,spotify:track:1D7NJhUyFsFpjIwXMiVO1R
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,8,KAYTRANADA_WAITIN_115 BPM,https://p.scdn.co/mp3-preview/657849bbafbc9498d28b1bdb40c97cb7dc4cc0f8?cid=65b672c29e5f4437ac1ee014e837fae6,https://i.scdn.co/image/ab67616d0000b27377b22d7d9ec551ce2edd6059,41,spotify:track:1WivaDTus6pTZQQLBQYDm3
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,9,Waitin,https://p.scdn.co/mp3-preview/b1ba1a6c577a7cb6bd70a3d0233a44519e891a80?cid=65b672c29e5f4437ac1ee014e837fae6,https://i.scdn.co/image/ab67616d0000b2730e6b0fc686dda68c8ec9e436,40,spotify:track:3HsP8NGJvDdZqdlv9OyORj
spotify:artist:1U0sIzpRtDkvu1hXXzxh60,10,SANTA MUERTE_BLUFF_94 BPM,https://p.scdn.co/mp3-preview/35b7f5ff137f0ed2ca3261710b900aad621f3acd?cid=65b672c29e5f4437ac1ee014e837fae6,https://i.scdn.co/image/ab67616d0000b27377b22d7d9ec551ce2edd6059,40,spotify:track:2nO4ZGM6lYMZdEqwYYIqdx
