name	artist_uri	artist_image	artist_url	artist_popularity	avg_related_artist_pop	followers	genres	num_genres
Kelela	spotify:artist:1U0sIzpRtDkvu1hXXzxh60	https://i.scdn.co/image/ab6761610000e5eb009653688cad451cd7d080e6	https://open.spotify.com/artist/1U0sIzpRtDkvu1hXXzxh60	46	49.0	272432	['afrofuturism', 'alternative r&b', 'art pop', 'electropop', 'escape room', 'experimental r&b', 'indie soul', 'pop', 'r&b']	9
Branchez	spotify:artist:4T5kpUiQUVJhuf9YT28qlf	https://i.scdn.co/image/ab6761610000e5ebd4990021e89e450bc87a6ddd	https://open.spotify.com/artist/4T5kpUiQUVJhuf9YT28qlf	46	53.95	15541	['electronic trap']	1
Skrillex	spotify:artist:5he5w2lnU9x7JFhnwcekXX	https://i.scdn.co/image/ab6761610000e5eb3b4b7eaaf58759b58626de37	https://open.spotify.com/artist/5he5w2lnU9x7JFhnwcekXX	75	52.45	8018942	['brostep', 'complextro', 'edm', 'electro']	4
Macklemore	spotify:artist:3JhNCzhSMTxs9WLGJJxWOY	https://i.scdn.co/image/ab6761610000e5eb57df9bb5680b96f5b4811fc2	https://open.spotify.com/artist/3JhNCzhSMTxs9WLGJJxWOY	75	53.4	1876451	['pop rap', 'seattle hip hop']	2
Charli XCX	spotify:artist:25uiPmTg16RbhZWAqwLBy5	https://i.scdn.co/image/ab6761610000e5eb576cb43281160e345f728b71	https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5	76	55.6	2643242	['art pop', 'candy pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'uk pop']	7
Louis Tomlinson	spotify:artist:57WHJIHrjOE3iAxpihhMnp	https://i.scdn.co/image/ab6761610000e5eb926f5a032b7d7ac4700a0bc0	https://open.spotify.com/artist/57WHJIHrjOE3iAxpihhMnp	66	70.35	6189891	['pop', 'post-teen pop']	2
Thomas Rhett	spotify:artist:6x2LnllRG5uGarZMsD4iO8	https://i.scdn.co/image/ab6761610000e5ebfabe24b83a375fa379244b89	https://open.spotify.com/artist/6x2LnllRG5uGarZMsD4iO8	74	63.8	4145092	['contemporary country', 'country', 'country road', 'modern country rock']	4
Cardi B	spotify:artist:4kYSro6naA4h99UJvo89HB	https://i.scdn.co/image/ab6761610000e5eba3de342056c0e1284cbc109d	https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB	80	66.25	20333907	['dance pop', 'pop', 'pop rap', 'rap']	4
Kesha	spotify:artist:6LqNN22kT3074XbTVUrhzX	https://i.scdn.co/image/ab6761610000e5ebf271138f95fbe8188d909d50	https://open.spotify.com/artist/6LqNN22kT3074XbTVUrhzX	76	67.15	7314885	['dance pop', 'electropop', 'pop', 'post-teen pop']	4
Huntar	spotify:artist:2woivlckW1wdml7zq1WW6e	https://i.scdn.co/image/ab6761610000e5eb1dde435f41c401adcb9d04ed	https://open.spotify.com/artist/2woivlckW1wdml7zq1WW6e	33	42.3	19013	['uk pop']	1
Ghosted	spotify:artist:3TOyRHj6rptXMN5F97Fpuq	https://i.scdn.co/image/ab67616d0000b27319c888fe1e7a379e63bd771e	https://open.spotify.com/artist/3TOyRHj6rptXMN5F97Fpuq	31	50.6	12666	['pop edm']	1
The Killers	spotify:artist:0C0XlULifJtAgn6ZNCW2eu	https://i.scdn.co/image/ab6761610000e5eb207b21f3ed0ee96adce3166a	https://open.spotify.com/artist/0C0XlULifJtAgn6ZNCW2eu	76	62.4	6571388	['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']	5
Purity Ring	spotify:artist:1TtJ8j22Roc24e2Jx3OcU4	https://i.scdn.co/image/ab6761610000e5eb20b70f0282438da42748264c	https://open.spotify.com/artist/1TtJ8j22Roc24e2Jx3OcU4	54	49.05	568834	['art pop', 'canadian electropop', 'chillwave', 'dark pop', 'dream pop', 'edmonton indie', 'electropop', 'grave wave', 'indietronica', 'metropopolis', 'shimmer pop']	11
Elohim	spotify:artist:6wKxOKEA3K6R2UZ3COLXEY	https://i.scdn.co/image/ab6761610000e5ebb61b6a1bda4c0448c332a448	https://open.spotify.com/artist/6wKxOKEA3K6R2UZ3COLXEY	54	49.55	165732	['alt z', 'edm', 'electropop', 'future bass', 'indie electropop', 'indie poptimism', 'indietronica', 'la pop', 'vapor soul', 'vapor twitch']	10
Jessie Ware	spotify:artist:5Mq7iqCWBzofK39FBqblNc	https://i.scdn.co/image/ab6761610000e5eb4eb636152895a4437f6e83b4	https://open.spotify.com/artist/5Mq7iqCWBzofK39FBqblNc	60	54.5	663435	['art pop', 'british soul', 'dance pop', 'electropop', 'neo soul', 'pop', 'pop soul', 'tropical house']	8
